票站編號,票站,18-20歲,21-25歲,26-30歲,31-35歲,36-40歲,41-45歲,46-50歲,51-55歲,56-60歲,61-65歲,66-70歲,71歲或以上,總數,18-20歲所佔比例,21-25歲所佔比例,26-30歲所佔比例,31-35歲所佔比例,36-40歲所佔比例,41-45歲所佔比例,46-50歲所佔比例,51-55歲所佔比例,56-60歲所佔比例,61-65歲所佔比例,66-70歲所佔比例,71歲或以上所佔比例,
C2601,太古小學,177,426,348,430,455,528,676,962,1037,675,494,662,6870,0.02576419214,0.06200873362,0.05065502183,0.06259097525,0.06622998544,0.0768558952,0.09839883552,0.1400291121,0.1509461426,0.09825327511,0.07190684134,0.09636098981,2016立法會選舉
C2701,青松興東幼稚園,127,272,256,199,190,206,278,428,452,446,374,453,3681,0.03450149416,0.07389296387,0.06954631894,0.05406139636,0.05161640858,0.05596305352,0.07552295572,0.116272752,0.1227927194,0.1211627275,0.1016028253,0.1230643847,2016立法會選舉
C2702,伊斯蘭徐錦享紀念幼稚園,137,206,185,189,220,260,360,470,519,414,385,460,3805,0.03600525624,0.05413929041,0.04862023653,0.04967148489,0.05781865966,0.06833114323,0.09461235217,0.123521682,0.1363994744,0.108804205,0.1011826544,0.1208935611,2016立法會選舉
C2801,西灣河體育館,179,345,487,537,612,493,605,778,817,735,678,933,7199,0.02486456452,0.04792332268,0.06764828448,0.07459369357,0.0850118072,0.06848173357,0.08403944992,0.1080705654,0.1134879844,0.1020975135,0.09417974719,0.1296013335,2016立法會選舉
C2901,勵志會梁李秀娛紀念小學,184,380,280,210,203,257,359,491,498,432,428,553,4275,0.04304093567,0.08888888889,0.06549707602,0.04912280702,0.04748538012,0.06011695906,0.08397660819,0.1148538012,0.1164912281,0.1010526316,0.1001169591,0.1293567251,2016立法會選舉
C2902,筲箕灣街坊福利事務促進會有限公司,83,145,178,209,187,191,213,311,309,228,164,229,2447,0.03391908459,0.05925623212,0.07274213322,0.08541070699,0.07642010625,0.07805476093,0.08704536167,0.1270944013,0.126277074,0.09317531671,0.06702084185,0.09358398038,2016立法會選舉
C3001,循道愛華村服務中心社會福利部-愛華青少年綜合服務隊(耀東服務處),127,350,296,221,127,106,148,317,511,357,330,416,3306,0.03841500302,0.1058681186,0.08953418028,0.06684815487,0.03841500302,0.03206291591,0.04476709014,0.09588626739,0.1545674531,0.1079854809,0.0998185118,0.1258318209,2016立法會選舉
C3101,粵南信義會腓力堂興民幼兒學園,70,139,158,166,189,171,201,290,301,266,299,455,2705,0.0258780037,0.05138632163,0.0584103512,0.06136783734,0.06987060998,0.06321626617,0.07430683919,0.1072088725,0.1112754159,0.09833641405,0.1105360444,0.168207024,2016立法會選舉
C3102,路德會聖雅各幼稚園,128,255,269,159,103,93,198,269,356,297,244,370,2741,0.0466982853,0.09303174024,0.0981393652,0.05800802627,0.03757752645,0.03392922291,0.07223641007,0.0981393652,0.129879606,0.1083546151,0.08901860635,0.1349872309,2016立法會選舉
C3201,天主教明德學校,126,274,285,272,258,277,325,559,665,479,310,402,4232,0.0297731569,0.06474480151,0.06734404537,0.06427221172,0.06096408318,0.0654536862,0.07679584121,0.1320888469,0.1571361059,0.1131852552,0.07325141777,0.0949905482,2016立法會選舉
C3301,柴灣母嬰健康院,98,201,154,204,253,240,246,366,356,289,210,163,2780,0.03525179856,0.07230215827,0.05539568345,0.07338129496,0.09100719424,0.08633093525,0.08848920863,0.1316546763,0.128057554,0.1039568345,0.07553956835,0.05863309353,2016立法會選舉
C3401,漁灣社區會堂,209,498,471,417,503,526,671,916,895,735,645,1093,7579,0.02757619739,0.06570787703,0.06214540177,0.05502045125,0.06636759467,0.06940229582,0.0885341074,0.1208602718,0.1180894577,0.0969784932,0.08510357567,0.1442142763,2016立法會選舉
C3501,香港中華基督教青年會-柴灣會所,89,245,334,272,153,190,222,378,524,362,294,457,3520,0.02528409091,0.06960227273,0.09488636364,0.07727272727,0.04346590909,0.05397727273,0.06306818182,0.1073863636,0.1488636364,0.1028409091,0.08352272727,0.1298295455,2016立法會選舉
D0101,香港仔體育館,192,426,435,572,559,564,658,839,742,594,456,503,6540,0.02935779817,0.06513761468,0.06651376147,0.0874617737,0.08547400612,0.08623853211,0.1006116208,0.1282874618,0.1134556575,0.09082568807,0.06972477064,0.07691131498,2016立法會選舉
D0201,鴨脷洲社區會堂,108,248,224,294,274,339,329,478,354,374,504,785,4311,0.02505219207,0.05752725586,0.05196010206,0.06819763396,0.06355833913,0.07863604732,0.07631639991,0.1108791464,0.08211551844,0.08675481327,0.1169102296,0.182092322,2016立法會選舉
D0301,鴨脷洲體育館,131,239,271,230,272,379,493,377,489,472,227,241,3821,0.03428421879,0.06254907092,0.07092384193,0.06019366658,0.07118555352,0.09918869406,0.1290238158,0.09866527087,0.1279769694,0.1235278723,0.0594085318,0.06307249411,2016立法會選舉
D0401,聖伯多祿天主教小學,107,302,474,621,427,295,300,639,797,653,525,476,5616,0.01905270655,0.05377492877,0.0844017094,0.1105769231,0.07603276353,0.05252849003,0.05341880342,0.1137820513,0.1419159544,0.1162749288,0.09348290598,0.08475783476,2016立法會選舉
D0501,利東社區會堂,42,186,478,360,291,229,200,323,624,605,553,734,4625,0.009081081081,0.04021621622,0.1033513514,0.07783783784,0.06291891892,0.04951351351,0.04324324324,0.06983783784,0.1349189189,0.1308108108,0.1195675676,0.1587027027,2016立法會選舉
D0601,香港南區官立小學,251,373,255,288,339,512,774,1040,822,524,292,343,5813,0.04317908137,0.06416652331,0.04386719422,0.04954412524,0.05831756408,0.08807844486,0.1331498366,0.1789093411,0.1414071908,0.09014278342,0.05023223809,0.05900567693,2016立法會選舉
D0701,海怡社區中心,256,461,323,309,401,542,802,1212,984,588,318,332,6528,0.03921568627,0.07061887255,0.04947916667,0.04733455882,0.06142769608,0.08302696078,0.1228553922,0.1856617647,0.1507352941,0.09007352941,0.04871323529,0.05085784314,2016立法會選舉
D0801,華貴社區會堂,148,329,471,397,336,373,480,721,734,578,499,943,6009,0.02462972208,0.05475120652,0.07838242636,0.06606756532,0.05591612581,0.06207355633,0.07988017973,0.1199866866,0.1221501082,0.09618904976,0.08304210351,0.1569312698,2016立法會選舉
D0901,明愛莊月明中學,106,247,206,209,153,248,301,340,391,395,364,907,3867,0.02741143005,0.06387380398,0.05327126972,0.05404706491,0.03956555469,0.06413240238,0.0778381174,0.08792345487,0.1011119731,0.1021463667,0.0941298164,0.2345487458,2016立法會選舉
D1001,東華三院鶴山學校,156,304,307,252,193,278,341,400,472,455,397,778,4333,0.03600276944,0.07015924302,0.07085160397,0.05815831987,0.04454188784,0.06415878144,0.07869836141,0.09231479345,0.1089314563,0.1050080775,0.09162243249,0.1795522733,2016立法會選舉
D1101,沙宣道會堂,10,33,35,35,40,63,89,124,123,115,60,77,804,0.01243781095,0.04104477612,0.04353233831,0.04353233831,0.04975124378,0.07835820896,0.1106965174,0.1542288557,0.1529850746,0.1430348259,0.07462686567,0.09577114428,2016立法會選舉
D1102,上碧瑤灣遊樂場,37,38,69,61,86,148,142,178,188,197,211,154,1509,0.02451954937,0.02518223989,0.04572564612,0.04042412194,0.05699138502,0.09807819748,0.09410205434,0.1179589132,0.1245858184,0.1305500331,0.1398277005,0.1020543406,2016立法會選舉
D1103,數碼港郵政局,28,56,64,74,138,161,220,219,190,127,108,59,1444,0.01939058172,0.03878116343,0.04432132964,0.0512465374,0.09556786704,0.1114958449,0.1523545706,0.1516620499,0.1315789474,0.0879501385,0.07479224377,0.04085872576,2016立法會選舉
D1201,展亮技能發展中心(薄扶林),9,27,21,20,20,22,39,37,52,44,34,42,367,0.02452316076,0.07356948229,0.05722070845,0.05449591281,0.05449591281,0.05994550409,0.10626703,0.1008174387,0.1416893733,0.1198910082,0.09264305177,0.1144414169,2016立法會選舉
D1202,置富南區會堂,158,275,344,389,402,386,498,672,767,733,636,701,5961,0.02650561986,0.04613319913,0.05770843818,0.06525750713,0.06743834927,0.06475423587,0.08354302969,0.112732763,0.1286696863,0.1229659453,0.1066935078,0.1175977185,2016立法會選舉
D1301,明愛賽馬會香港仔服務中心,39,88,104,119,131,125,149,142,154,102,78,91,1322,0.02950075643,0.06656580938,0.07866868381,0.09001512859,0.09909228442,0.09455370651,0.1127080182,0.1074130106,0.1164901664,0.07715582451,0.05900151286,0.06883509834,2016立法會選舉
D1302,聖公會田灣始南小學,111,246,230,193,175,218,281,395,404,357,272,498,3380,0.03284023669,0.07278106509,0.06804733728,0.05710059172,0.05177514793,0.06449704142,0.08313609467,0.1168639053,0.1195266272,0.1056213018,0.08047337278,0.1473372781,2016立法會選舉
D1401,香港仔聖伯多祿天主教小學,142,338,402,354,293,361,396,569,619,536,489,1105,5604,0.02533904354,0.06031406138,0.07173447537,0.06316916488,0.0522840828,0.06441827266,0.07066381156,0.1015346181,0.1104568166,0.09564596717,0.08725910064,0.1971805853,2016立法會選舉
D1501,香港仔網球及壁球中心,34,70,68,88,114,156,167,186,158,154,135,247,1577,0.02155992391,0.04438807863,0.04311984781,0.05580215599,0.07228915663,0.0989220038,0.1058972733,0.1179454661,0.1001902346,0.09765377299,0.08560558022,0.156626506,2016立法會選舉
D1502,南區長者地區中心,73,187,194,217,369,501,429,459,366,314,348,487,3944,0.01850912779,0.0474137931,0.04918864097,0.05502028398,0.09355983773,0.1270283976,0.1087728195,0.1163793103,0.09279918864,0.07961460446,0.08823529412,0.1234787018,2016立法會選舉
D1601,黃竹坑體育館,17,23,39,41,59,81,112,102,143,132,104,110,963,0.01765316719,0.02388369678,0.04049844237,0.04257528557,0.06126687435,0.08411214953,0.1163032191,0.1059190031,0.1484942887,0.1370716511,0.1079958463,0.1142263759,2016立法會選舉
D1602,香港國際學校,16,46,39,57,72,78,105,168,182,160,137,119,1179,0.01357082273,0.03901611535,0.03307888041,0.04834605598,0.06106870229,0.06615776081,0.08905852417,0.1424936387,0.1543681086,0.1357082273,0.1162001696,0.1009329941,2016立法會選舉
D1701,赤柱社區會堂,92,172,169,169,225,458,447,466,476,366,234,275,3549,0.02592279515,0.04846435616,0.04761904762,0.04761904762,0.06339814032,0.1290504367,0.1259509721,0.1313045928,0.134122288,0.1031276416,0.06593406593,0.07748661595,2016立法會選舉
D1702,石澳健康院,23,37,28,35,35,58,98,99,103,71,49,108,744,0.03091397849,0.0497311828,0.0376344086,0.04704301075,0.04704301075,0.07795698925,0.1317204301,0.1330645161,0.1384408602,0.09543010753,0.06586021505,0.1451612903,2016立法會選舉
