選區編號,選區,18-20歲,21-25歲,26-30歲,31-35歲,36-40歲,41-45歲,46-50歲,51-55歲,56-60歲,61-65歲,66-70歲,71歲或以上,總數 TOTAL:,選區推算人口
R26,馬鞍山市中心,116,153,176,231,311,366,520,581,472,240,205,226,3597,18206
R27,利安,178,627,347,255,263,322,479,801,798,645,502,549,5766,16354
R28,富龍,173,304,263,340,361,352,660,796,700,686,503,690,5828,16979
R29,烏溪沙,86,101,110,195,292,349,421,459,309,169,114,126,2731,16346
R30,錦英,180,333,223,258,357,370,669,879,569,459,393,480,5170,17726
R31,耀安,92,267,649,426,198,151,182,597,998,712,411,521,5204,19370
R32,恒安,80,234,526,632,345,240,190,530,1205,1038,672,832,6524,21864
R33,鞍泰,148,257,264,470,768,850,827,746,635,535,439,462,6401,21661
R34,大水坑,160,348,315,259,363,365,486,915,900,530,388,654,5683,17868
R36,碧湖,137,301,245,256,415,489,525,830,767,516,267,294,5042,16660
R37,廣康,153,298,254,211,313,432,619,892,656,452,290,398,4968,18016
R38,廣源,88,351,457,263,171,142,233,462,630,519,315,485,4116,13883
