選區編號,選區,18-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,66-70,71或以上,總計,2015選區推算人口
Q20,景林,224,1154,1324,953,590,505,652,1398,1770,1238,789,1402,11999,17890
Q21,厚德,404,1265,826,603,586,555,944,1424,1473,1030,807,1323,11240,18253
Q22,富藍,294,674,545,562,748,945,1092,1342,1050,743,565,1234,9794,17572
Q23,德明,476,899,587,666,773,1166,1437,1610,1279,985,645,1259,11782,19323
Q24,尚德,784,2047,1087,606,402,590,1059,1578,1461,1010,652,1004,12280,18356
Q25,廣明,449,720,598,639,838,1235,1384,1448,1071,901,720,1316,11319,18555
Q26,環保北,242,393,387,506,660,774,843,834,628,397,216,208,6088,16675
Q27,環保南,244,333,299,333,410,531,581,642,575,292,161,154,4555,16570
R01,沙田市中心,328,714,593,668,764,827,917,1369,1138,797,475,751,9341,19821
R02,瀝源,277,675,494,444,515,614,577,720,728,710,568,1332,7654,16442
R03,禾輋邨,399,1068,684,582,736,711,731,1007,1124,1103,1126,1994,11265,18329
R04,第一城,302,720,619,602,669,648,826,1246,1255,818,437,730,8872,15824
R05,愉城,243,525,543,688,611,650,860,1086,1106,812,435,784,8343,15363
R06,王屋,295,576,530,615,708,666,735,1010,1043,747,500,713,8138,17586
R07,沙角,259,699,494,562,725,634,558,755,870,1184,1142,2051,9933,16543
R08,博康,236,586,631,1301,1292,777,547,704,1185,1475,1169,1693,11596,16341
R09,乙明,168,435,453,850,831,412,385,561,956,1212,894,1028,8185,20609
R10,秦豐,241,527,508,790,735,521,513,792,1026,1153,773,1243,8822,15274
R11,新田圍,316,762,537,572,733,618,629,830,815,829,738,1336,8715,17028
R12,翠田,240,654,544,764,707,461,537,874,1056,1049,690,1021,8597,15432
R13,顯嘉,186,618,985,1071,597,427,401,1075,1588,1033,550,816,9347,13242
R14,下城門,417,767,454,478,672,817,766,882,884,748,459,481,7825,18693
R15,雲城,328,593,522,609,829,792,924,1254,983,755,483,780,8852,20693
R16,徑口,352,666,780,1201,1015,964,960,1086,1416,1211,812,1457,11920,20452
R17,田心,298,778,521,715,654,475,424,581,869,1186,849,1135,8485,14986
R18,翠嘉,249,597,531,737,728,582,551,792,1023,1219,963,1510,9482,16045
R19,大圍,302,768,703,827,846,765,817,1140,1408,1327,1078,2235,12216,20765
R20,松田,285,594,391,475,563,730,936,1201,856,700,463,720,7914,15032
R21,穗禾,259,506,474,532,556,480,624,1046,1043,838,575,914,7847,13191
R22,火炭,305,555,470,526,595,706,891,1156,928,651,312,432,7527,16960
R23,駿馬,316,552,375,289,331,439,676,1058,984,571,262,316,6169,14491
R24,頌安,645,1375,856,500,572,888,1263,1596,1377,798,395,613,10878,20910
R25,錦濤,403,742,743,1106,1065,1103,1285,1412,1204,920,680,1291,11954,20813
R26,馬鞍山市中心,379,587,479,639,860,910,1199,1403,1003,615,425,582,9081,18206
R27,利安,427,1432,803,533,504,584,800,1279,1206,972,683,849,10072,16354
R28,富龍,405,761,567,818,841,834,1224,1522,1259,1128,777,1319,11455,16979
R29,烏溪沙,278,358,274,396,519,641,727,849,575,338,201,268,5424,16346
R30,錦英,436,809,508,690,835,870,1299,1639,1086,825,615,922,10534,17726
R31,耀安,252,878,1833,1498,680,474,437,1477,2315,1495,784,1089,13212,19370
R32,恒安,261,766,1397,2021,1101,735,537,1212,2498,2034,1147,1593,15302,21864
R33,鞍泰,409,653,597,1034,1488,1513,1372,1273,1066,870,659,798,11732,21661
R34,大水坑,402,907,673,622,710,762,855,1663,1466,945,637,1217,10859,17868
R35,愉欣,232,482,542,1071,1558,1158,847,789,787,689,500,831,9486,18197
R36,碧湖,361,719,531,509,688,749,806,1219,1125,742,388,495,8332,16660
R37,廣康,399,870,654,562,721,890,1158,1684,1193,763,488,780,10162,18016
R38,廣源,192,993,1126,765,442,386,431,975,1326,886,538,923,8983,13883
S01,葵興,250,501,443,590,740,1008,1078,990,828,789,729,1741,9687,17975
S02,葵盛東邨,411,1118,682,518,488,708,866,1126,1224,858,783,2008,10790,18253
S03,上大窩口,206,481,355,302,570,654,629,730,641,551,496,1539,7154,12957
S04,下大窩口,194,534,515,550,512,615,703,863,961,705,590,1578,8320,13301
S05,葵涌邨北,424,860,512,488,660,931,838,988,871,705,466,584,8327,19197
S06,葵涌邨南,448,860,501,458,805,1054,976,1061,843,675,498,1174,9353,20793
S07,石蔭,435,1021,733,595,748,995,1173,1196,1014,853,706,2222,11691,21347
S08,安蔭,251,550,429,376,564,901,1020,757,652,555,787,2469,9311,16044
S09,石籬南,341,786,605,717,725,865,988,1057,1059,961,860,2187,11151,19630
S10,石籬北,521,1046,718,468,572,760,926,985,934,707,550,1255,9442,21330
S11,大白田,264,642,676,779,808,803,775,969,1027,829,659,1228,9459,21829
S12,葵芳,308,846,616,440,638,836,916,980,928,784,851,2261,10404,17652
S13,華麗,256,658,510,454,624,693,737,916,989,859,781,1556,9033,16655
S14,荔華,242,585,522,529,736,738,698,817,829,696,566,776,7734,14771
S15,祖堯,207,362,316,513,792,975,904,840,566,787,883,1217,8362,15988
S16,興芳,276,563,567,761,918,1091,1097,1119,1005,752,573,951,9673,20293
S17,荔景,188,560,434,466,585,619,533,623,749,806,931,1637,8131,14095
S18,葵盛西邨,307,773,681,574,809,923,694,833,931,951,1069,1999,10544,18254
S19,安灝,273,750,1255,1073,736,930,986,1455,1756,1142,656,969,11981,20850
S20,偉盈,325,624,433,491,735,1054,1499,1575,1121,736,528,857,9978,19576
S21,青衣邨,146,593,847,1080,731,539,498,939,1299,1080,649,977,9378,17201
S22,翠怡,284,560,476,860,1112,1290,1306,1316,824,554,424,692,9698,19924
S23,長青,286,748,584,660,769,745,712,947,975,1070,1067,1978,10541,18733
S24,長康,165,578,598,588,553,560,519,983,1070,1048,848,1547,9057,15560
S25,盛康,163,465,634,914,667,472,482,659,1306,1407,1017,1636,9822,15138
S26,青衣南,521,1052,718,560,670,958,946,1175,986,767,445,579,9377,19744
S27,長亨,200,863,829,605,482,437,416,876,1215,1056,771,1092,8842,13616
S28,青發,261,958,1188,747,559,582,713,1792,1793,1087,739,1402,11821,18267
S29,長安,108,479,1072,1254,521,444,343,908,1656,1235,772,1002,9794,13832
T01,大嶼山,151,332,307,394,467,635,759,903,751,644,429,1262,7034,19207
T02,逸東邨北,541,830,556,483,741,1043,985,1086,919,600,378,489,8651,18959
T03,逸東邨南,672,1699,1082,590,440,636,965,1402,1406,923,510,592,10917,20124
T04,東涌北,124,345,388,528,834,879,781,879,879,776,516,565,7494,22450
T05,東涌南,379,754,539,590,686,1009,1185,1381,1275,996,652,1038,10484,18489
T06,愉景灣,66,156,87,143,266,542,691,755,563,445,319,361,4394,13390
T07,坪洲及喜靈洲,96,202,193,236,294,336,387,474,426,338,227,563,3772,7376
T08,南丫及蒲台,39,97,80,128,162,249,337,366,300,178,128,340,2404,6183
T09,長洲南,185,441,391,453,365,463,604,776,724,615,383,789,6189,11108
T10,長洲北,154,380,347,400,370,406,499,620,686,510,395,947,5714,11082
