選區編號,選區,18-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,66-70,71或以上,總計,2015推算人口
C20,錦屏,16,-22,-20,-15,-38,-26,-14,-1,-19,-30,51,24,-94,16793
C21,丹拿,-7,-7,-1,5,-17,-24,4,-19,-40,-8,63,25,-26,15345
C22,健康村,24,-13,14,-6,21,-40,-33,-2,12,13,48,-42,-4,14480
C23,鰂魚涌,20,-37,15,-8,-10,-21,-33,-22,-7,-18,43,-11,-89,13764
C24,南豐,11,1,1,35,3,16,-40,-2,26,17,35,18,121,14081
C25,康怡,32,-4,33,12,-14,29,-14,-24,-39,44,49,36,140,14724
C26,康山,6,3,53,2,-33,-6,-18,-63,53,7,42,17,63,14958
C27,興東,39,0,-1,15,-15,-54,-51,-14,54,4,117,56,150,18899
C28,西灣河,32,-4,-8,37,-33,17,-47,-16,2,11,68,26,85,19482
C29,下耀東,-2,7,42,40,-8,15,-22,-9,42,15,64,51,235,16389
C30,上耀東,8,-38,-7,46,6,0,-50,-51,55,4,72,29,74,12732
C31,興民,48,-14,27,39,8,8,-24,-6,35,-5,86,-36,166,14432
C32,樂康,9,-9,17,-3,2,27,-54,-100,32,14,46,14,-5,12391
C33,翠德,-9,13,13,-22,48,2,-62,-46,24,37,62,7,67,13349
C34,漁灣,46,11,37,-14,2,-2,-36,28,28,13,46,38,197,14804
C35,佳曉,12,-35,23,53,12,-2,-25,-78,14,58,41,43,116,13343
D01,香港仔,18,1,-21,-1,12,36,-64,-18,31,20,77,1,92,19698
D02,鴨脷洲邨,20,-26,-12,-32,8,42,-32,32,-30,-57,74,31,18,12478
D03,鴨脷洲北,22,18,26,16,-28,-39,-55,22,55,22,21,-127,-47,13025
D04,利東一,9,-50,-58,2,24,44,-42,-61,-35,61,69,-40,-77,16828
D05,利東二,2,-23,-63,20,50,6,-18,-59,-43,48,63,5,-12,13307
D06,海怡東,38,24,22,27,25,-28,-44,-10,74,43,38,34,243,15340
D07,海怡西,7,48,31,29,14,9,-51,-22,95,44,82,18,304,16036
D08,華貴,12,-60,13,35,-37,-8,-29,-41,28,35,57,10,15,14737
D09,華富南,10,-9,5,32,9,-17,14,-2,-11,24,20,-20,55,12429
D10,華富北,48,-25,27,16,-18,-19,4,0,5,9,32,23,102,14296
