選區編號,選區,18-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,61-65,66-70,71+,新增登記選民,2015 推算人口
R20,松田,102,45,40,43,48,47,40,42,26,16,16,10,8,483,15032
R04,第一城,92,40,73,42,43,46,38,42,22,13,13,5,7,476,15824
G19,黃埔西,89,47,49,59,61,51,40,30,24,8,8,7,2,475,20624
M01,豐年,93,44,57,40,44,48,31,36,27,14,14,8,18,474,19454
J12,秀茂坪北,158,48,41,13,18,32,34,25,26,22,22,10,23,472,20579
J23,翠翔,146,43,40,29,46,73,29,25,13,6,6,3,13,472,20726
R10,秦豐,80,45,49,51,45,32,34,27,32,23,23,10,21,472,15274
P05,富亨,79,66,133,52,23,9,19,20,27,14,14,12,4,472,16576
H08,東頭,98,36,34,23,21,31,29,27,36,38,38,25,33,469,19630
P03,頌汀,94,59,66,40,37,22,32,26,38,15,15,12,10,466,14946
S02,葵盛東邨,145,80,49,27,21,27,24,26,15,14,14,11,12,465,18253
L01,屯門市中心,96,62,57,66,39,43,25,33,12,9,9,4,10,465,19539
E11,大角咀北,80,29,43,51,55,46,51,34,14,19,19,9,14,464,18474
R11,新田圍,101,43,54,36,37,37,33,32,24,21,21,14,10,463,17028
N12,彩園,96,40,64,46,35,29,26,34,25,17,17,15,19,463,17909
C31,興民,111,60,44,24,22,28,33,42,23,18,18,20,18,461,14432
R12,翠田,89,52,45,50,60,26,23,34,24,20,20,10,8,461,15432
L27,景峰,85,36,58,71,58,38,27,26,19,12,12,10,8,460,19254
K13,馬灣,43,18,28,73,86,63,35,35,22,16,16,16,9,460,15126
C04,愛秩序灣,76,55,41,24,38,27,23,38,30,27,27,16,36,458,19119
Q08,都善,77,30,37,42,36,47,51,45,29,22,22,10,9,457,15314
M32,新田,71,27,38,32,37,41,40,26,44,30,30,19,22,457,20990
L13,恆褔,108,40,47,26,53,42,32,31,15,22,22,16,2,456,20700
N14,天平西,89,55,76,67,22,16,20,20,32,20,20,9,10,456,15062
F03,南昌北,82,47,51,37,31,28,40,39,36,21,21,10,13,456,19807
R35,愉欣,69,33,46,56,75,44,25,26,22,19,19,12,10,456,18197
N15,鳳翠,112,54,44,30,37,38,26,28,23,21,21,11,10,455,14972
S11,大白田,94,33,48,51,39,41,42,28,23,19,19,8,9,454,21829
M05,元朗中心,84,34,47,54,33,37,39,31,28,24,24,6,12,453,17543
J27,翠屏,116,50,42,27,30,37,30,33,24,14,14,9,26,452,19113
R18,翠嘉,96,42,56,46,53,32,26,29,25,13,13,12,9,452,16045
H09,東美,93,47,35,27,36,30,41,31,20,26,26,13,27,452,17580
L07,翠興,118,61,33,37,58,30,33,34,13,9,9,8,7,450,18323
K01,德華,70,58,38,32,41,52,40,38,22,19,19,15,6,450,21075
F23,龍坪及上白田,76,27,42,22,28,32,35,40,27,31,31,27,31,449,16794
C07,杏花邨,123,61,35,22,24,36,45,37,30,7,7,12,9,448,19267
S09,石籬南,112,53,45,27,29,28,28,32,10,21,21,12,30,448,19630
M29,嘉湖南,110,43,34,47,47,26,36,29,26,13,13,12,12,448,17332
C34,漁灣,97,66,36,19,22,38,31,35,18,14,14,23,35,448,14804
H03,龍上,127,69,44,25,23,29,21,27,13,19,19,11,20,447,20477
H25,彩虹,108,46,39,31,28,25,44,32,20,22,22,14,15,446,14702
C03,鯉景灣,85,41,37,32,34,42,40,34,24,23,23,8,21,444,20803
F05,南昌東,62,39,43,35,36,36,28,39,36,30,30,12,17,443,18487
M16,瑞愛,118,77,59,37,18,25,16,21,23,16,16,4,11,441,18325
H07,新蒲崗,115,39,32,35,36,33,24,32,22,17,17,14,24,440,21677
M04,北朗,105,43,45,59,35,30,26,28,21,11,11,13,13,440,17016
L11,新墟,88,40,54,45,37,27,20,28,32,19,19,16,15,440,18899
G22,家維,90,60,46,27,35,30,33,28,22,21,21,13,12,438,19301
P06,怡富,88,42,58,65,22,31,18,20,25,21,21,12,14,437,16606
P14,寶雅,79,55,107,37,20,23,18,29,28,14,14,6,7,437,14902
G20,紅磡灣,88,35,37,38,37,35,37,29,27,18,18,20,17,436,19607
F06,南昌南,61,37,43,27,35,41,41,38,32,27,27,12,15,436,20737
R23,駿馬,101,37,37,24,31,25,29,37,32,28,28,14,12,435,14491
P04,大元,103,59,43,41,40,33,24,27,21,12,12,11,7,433,14379
M35,八鄉南,93,25,31,42,46,48,31,39,30,14,14,4,16,433,19645
F22,南山、大坑東及大坑西,70,42,26,34,26,44,34,32,25,19,19,21,40,432,16244
R07,沙角,76,61,34,30,35,45,26,19,27,20,20,21,17,431,16543
D07,海怡西,104,65,34,18,26,35,41,40,20,15,15,10,6,429,16036
K09,麗濤,99,60,50,27,39,28,31,36,20,8,8,10,13,429,19431
R38,廣源,62,44,82,52,13,19,12,28,28,19,19,19,32,429,13883
A09,寶翠,104,40,40,37,35,41,32,26,20,16,16,5,16,428,21195
R21,穗禾,85,34,46,42,43,28,28,36,27,19,19,6,15,428,13191
L14,富新,127,51,29,37,43,30,30,26,20,7,7,10,10,427,19390
D06,海怡東,120,47,25,23,35,36,36,35,29,9,9,9,12,425,15340
K08,荃威,101,40,41,39,45,37,30,21,22,14,14,9,9,422,19833
E12,大南,75,47,42,26,33,37,36,33,32,12,12,17,18,420,20432
G05,常樂,101,28,48,29,22,27,40,24,27,21,21,7,24,419,16095
C27,興東,99,59,40,24,31,30,32,23,24,15,15,9,17,418,18899
P15,太和,77,63,117,36,18,18,14,11,22,13,13,8,8,418,15623
F01,寶麗,64,45,38,22,34,42,38,36,25,29,29,7,9,418,19254
S23,長青,106,46,51,28,28,32,25,21,16,23,23,10,8,417,18733
J33,牛頭角上邨,96,43,32,21,16,28,21,19,17,34,34,23,33,417,15969
L04,安定,92,58,27,27,32,21,30,24,15,28,28,16,19,417,16704
P07,富明新,91,31,63,50,31,15,29,27,24,18,18,11,9,417,14282
M10,十八鄉西,103,32,41,44,37,24,27,32,24,21,21,4,6,416,21626
L19,樂翠,102,45,37,36,42,35,28,29,19,10,10,11,12,416,14544
M03,南屏,93,44,42,49,24,29,22,33,34,14,14,8,8,414,16800
L03,兆翠,124,47,37,44,42,31,18,9,17,13,13,6,11,412,19796
S08,安蔭,113,38,27,27,27,38,36,19,14,15,15,12,31,412,16044
A07,觀龍,66,45,48,34,28,37,35,39,25,15,15,7,18,412,15188
R17,田心,96,58,49,39,37,36,30,24,12,9,9,8,4,411,14986
H20,瓊富,115,39,26,34,32,31,29,29,23,12,12,8,20,410,19385
N18,皇后山,99,42,23,30,31,31,26,34,24,23,23,10,14,410,17962
P08,廣福及寶湖,80,48,50,46,25,18,24,20,35,20,20,15,9,410,13459
M02,水邊,89,39,43,36,41,31,31,22,20,14,14,17,12,409,19277
Q16,翠林,83,48,75,54,27,28,12,14,24,14,14,8,8,409,16311
S21,青衣邨,65,34,67,69,42,25,24,18,24,15,15,4,6,408,17201
N07,盛福,119,61,51,36,19,19,23,34,20,8,8,3,6,407,14982
