選區編號,選區,選區推算人口(2015)
Q17,寶林,"16,722"
Q18,欣英,"19,431"
Q19,運亨,"21,169"
Q20,景林,"17,890"
Q21,厚德,"18,253"
Q22,富藍,"17,572"
Q23,德明,"19,323"
Q24,尚德,"18,356"
Q25,廣明,"18,555"
Q26,環保北,"16,675"
Q27,環保南,"16,570"
R01,沙田市中心,"19,821"
R02,瀝源,"16,442"
R03,禾輋邨,"18,329"
R04,第一城,"15,824"
R05,愉城,"15,363"
R06,王屋,"17,586"
R07,沙角,"16,543"
R08,博康,"16,341"
R09,乙明,"20,609"
R10,秦豐,"15,274"
R11,新田圍,"17,028"
R12,翠田,"15,432"
R13,顯嘉,"13,242"
R14,下城門,"18,693"
R15,雲城,"20,693"
R16,徑口,"20,452"
R17,田心,"14,986"
R18,翠嘉,"16,045"
R19,大圍,"20,765"
R20,松田,"15,032"
R21,穗禾,"13,191"
R22,火炭,"16,960"
R23,駿馬,"14,491"
R24,頌安,"20,910"
R25,錦濤,"20,813"
R26,馬鞍山市中心,"18,206"
R27,利安,"16,354"
R28,富龍,"16,979"
R29,烏溪沙,"16,346"
R30,錦英,"17,726"
R31,耀安,"19,370"
R32,恒安,"21,864"
R33,鞍泰,"21,661"
R34,大水坑,"17,868"
R35,愉欣,"18,197"
R36,碧湖,"16,660"
R37,廣康,"18,016"
R38,廣源,"13,883"
S01,葵興,"17,975"
S02,葵盛東邨,"18,253"
S03,上大窩口,"12,957"
S04,下大窩口,"13,301"
S05,葵涌邨北,"19,197"
S06,葵涌邨南,"20,793"
S07,石蔭,"21,347"
S08,安蔭,"16,044"
S09,石籬南,"19,630"
S10,石籬北,"21,330"
S11,大白田,"21,829"
S12,葵芳,"17,652"
S13,華麗,"16,655"
S14,荔華,"14,771"
S15,祖堯,"15,988"
S16,興芳,"20,293"
S17,荔景,"14,095"
S18,葵盛西邨,"18,254"
S19,安灝,"20,850"
S20,偉盈,"19,576"
S21,青衣邨,"17,201"
S22,翠怡,"19,924"
S23,長青,"18,733"
S24,長康,"15,560"
S25,盛康,"15,138"
S26,青衣南,"19,744"
S27,長亨,"13,616"
S28,青發,"18,267"
S29,長安,"13,832"
T01,大嶼山,"19,207"
T02,逸東邨北,"18,959"
T03,逸東邨南,"20,124"
T04,東涌北,"22,450"
T05,東涌南,"18,489"
T06,愉景灣,"13,390"
T07,坪洲及喜靈洲,"7,376"
T08,南丫及蒲台,"6,183"
T09,長洲南,"11,108"
T10,長洲北,"11,082"
