"District 
Code","Constituency
Code",Polling Station Code,No. of Electors*,"Main
CS?","Small 
PS?",08:30,09:30,10:30,11:30,12:30,13:30,14:30,15:30,16:30,17:30,18:30,19:30,20:30,21:30,22:30
C,C29,C2901,"6,159 ",Y,N,103 ,246 ,405 ,582 ,767 ,899 ,"1,063 ","1,241 ","1,399 ","1,569 ","1,763 ","1,922 ","2,078 ","2,281 ","2,502 "
C,C29,C2902,"6,199 ",N,N,99 ,232 ,372 ,559 ,715 ,849 ,"1,010 ","1,218 ","1,392 ","1,534 ","1,761 ","1,923 ","2,088 ","2,291 ","2,494 "
C,C30,C3001,"8,706 ",Y,N,62 ,206 ,451 ,694 ,945 ,"1,191 ","1,433 ","1,670 ","1,910 ","2,181 ","2,442 ","2,673 ","2,868 ","3,109 ","3,375 "
C,C31,C3101,"4,740 ",Y,N,33 ,114 ,233 ,378 ,485 ,576 ,697 ,789 ,886 ,986 ,"1,099 ","1,196 ","1,319 ","1,422 ","1,512 "
C,C31,C3102,"3,384 ",N,N,31 ,95 ,159 ,239 ,328 ,400 ,465 ,552 ,627 ,705 ,799 ,872 ,945 ,"1,021 ","1,084 "
C,C33,C3301,"3,870 ",N,N,61 ,146 ,316 ,452 ,564 ,627 ,748 ,849 ,934 ,"1,035 ","1,128 ","1,245 ","1,338 ","1,425 ","1,522 "
C,C33,C3302,"4,864 ",Y,N,109 ,295 ,510 ,644 ,801 ,902 ,990 ,"1,108 ","1,233 ","1,338 ","1,468 ","1,598 ","1,717 ","1,851 ","1,978 "
C,C34,C3401,"6,720 ",Y,N,103 ,233 ,466 ,716 ,957 ,"1,173 ","1,448 ","1,685 ","1,936 ","2,193 ","2,449 ","2,616 ","2,831 ","3,048 ","3,336 "
C,C34,C3402,"1,170 ",N,N,22 ,41 ,87 ,133 ,173 ,209 ,267 ,300 ,326 ,370 ,403 ,441 ,467 ,507 ,524 
C,C35,C3501,"6,859 ",Y,N,32 ,114 ,276 ,485 ,657 ,821 ,"1,022 ","1,199 ","1,387 ","1,603 ","1,857 ","1,947 ","2,114 ","2,302 ","2,497 "
C,C37,C3701,"6,582 ",Y,N,43 ,200 ,431 ,649 ,821 ,993 ,"1,153 ","1,330 ","1,526 ","1,697 ","1,893 ","2,108 ","2,268 ","2,449 ","2,681 "
C,C37,C3702,"2,462 ",N,N,17 ,56 ,102 ,153 ,211 ,271 ,330 ,376 ,445 ,499 ,575 ,631 ,674 ,729 ,791 
D,D03,D0301,"5,192 ",N,N,79 ,220 ,426 ,574 ,710 ,849 ,986 ,"1,157 ","1,290 ","1,437 ","1,609 ","1,746 ","1,860 ","2,034 ","2,194 "
D,D03,D0302,640 ,Y,N,1 ,15 ,30 ,42 ,58 ,68 ,79 ,99 ,124 ,144 ,165 ,177 ,200 ,217 ,231 
D,D04,D0401,"10,042 ",Y,N,110 ,365 ,629 ,962 ,"1,223 ","1,466 ","1,752 ","2,067 ","2,335 ","2,539 ","2,999 ","3,285 ","3,597 ","3,983 ","4,326 "
D,D05,D0501,"9,286 ",Y,N,173 ,508 ,900 ,"1,301 ","1,623 ","1,898 ","2,155 ","2,442 ","2,702 ","2,955 ","3,296 ","3,637 ","3,901 ","4,139 ","4,459 "
D,D06,D0601,"6,870 ",Y,N,54 ,197 ,381 ,639 ,908 ,"1,126 ","1,380 ","1,607 ","1,850 ","2,147 ","2,387 ","2,583 ","2,841 ","3,140 ","3,498 "
D,D07,D0701,"7,594 ",Y,N,52 ,231 ,434 ,673 ,989 ,"1,236 ","1,522 ","1,785 ","2,127 ","2,403 ","2,751 ","3,013 ","3,275 ","3,650 ","4,066 "
D,D08,D0801,"11,126 ",Y,N,121 ,433 ,921 ,"1,362 ","1,739 ","2,066 ","2,348 ","2,675 ","3,059 ","3,427 ","3,802 ","4,152 ","4,508 ","4,813 ","5,166 "
D,D09,D0901,"8,464 ",Y,N,96 ,337 ,683 ,979 ,"1,084 ","1,260 ","1,444 ","1,605 ","1,793 ","2,032 ","2,265 ","2,451 ","2,662 ","2,873 ","3,044 "
D,D10,D1001,"9,336 ",Y,N,129 ,368 ,703 ,"1,070 ","1,378 ","1,631 ","1,919 ","2,184 ","2,474 ","2,761 ","3,074 ","3,362 ","3,599 ","3,852 ","4,090 "
D,D11,D1101,"1,434 ",Y,N,6 ,27 ,62 ,105 ,165 ,201 ,262 ,304 ,356 ,416 ,477 ,506 ,544 ,577 ,615 
D,D11,D1102,"2,184 ",N,N,14 ,35 ,78 ,144 ,223 ,300 ,360 ,409 ,493 ,557 ,638 ,715 ,774 ,864 ,942 
D,D11,D1103,"1,478 ",N,N,5 ,24 ,56 ,121 ,179 ,247 ,295 ,356 ,405 ,453 ,497 ,551 ,605 ,660 ,719 
D,D14,D1401,"12,006 ",Y,N,208 ,601 ,"1,032 ","1,379 ","1,676 ","1,976 ","2,236 ","2,465 ","2,743 ","3,026 ","3,290 ","3,573 ","3,851 ","4,129 ","4,454 "
D,D15,D1501,"2,696 ",N,N,46 ,99 ,166 ,254 ,330 ,420 ,497 ,559 ,650 ,709 ,789 ,865 ,959 ,"1,039 ","1,137 "
D,D15,D1502,"6,159 ",Y,N,89 ,244 ,443 ,731 ,859 ,"1,084 ","1,280 ","1,481 ","1,660 ","1,850 ","2,082 ","2,314 ","2,466 ","2,783 ","3,022 "
D,D16,D1601,"1,699 ",N,N,15 ,47 ,93 ,148 ,204 ,250 ,288 ,339 ,406 ,464 ,526 ,575 ,597 ,622 ,674 
D,D16,D1602,"1,524 ",Y,N,15 ,33 ,76 ,124 ,172 ,226 ,272 ,313 ,354 ,384 ,444 ,500 ,532 ,567 ,616 
D,D17,D1701,"6,607 ",Y,N,100 ,270 ,496 ,712 ,879 ,"1,046 ","1,209 ","1,364 ","1,502 ","1,657 ","1,822 ","2,002 ","2,168 ","2,370 ","2,608 "
D,D17,D1702,"1,207 ",N,N,30 ,97 ,157 ,246 ,307 ,354 ,402 ,425 ,473 ,529 ,566 ,605 ,650 ,687 ,719 
E,E01,E0101,"3,493 ",Y,N,16 ,74 ,131 ,244 ,348 ,438 ,532 ,636 ,748 ,836 ,938 ,"1,035 ","1,123 ","1,225 ","1,328 "
E,E02,E0201,"7,355 ",Y,N,81 ,235 ,377 ,560 ,719 ,892 ,"1,036 ","1,203 ","1,388 ","1,558 ","1,763 ","1,923 ","2,063 ","2,213 ","2,336 "
E,E03,E0301,"9,044 ",Y,N,70 ,226 ,520 ,722 ,932 ,"1,133 ","1,333 ","1,580 ","1,826 ","2,046 ","2,224 ","2,433 ","2,627 ","2,815 ","2,960 "
E,E04,E0401,"9,155 ",Y,N,86 ,366 ,642 ,967 ,"1,261 ","1,525 ","1,812 ","2,063 ","2,356 ","2,620 ","2,906 ","3,166 ","3,383 ","3,610 ","3,808 "
E,E05,E0501,"9,698 ",Y,N,90 ,251 ,507 ,823 ,"1,078 ","1,323 ","1,579 ","1,853 ","2,152 ","2,424 ","2,677 ","2,936 ","3,193 ","3,466 ","3,687 "
E,E06,E0601,"7,323 ",Y,N,75 ,245 ,466 ,714 ,911 ,"1,093 ","1,285 ","1,474 ","1,679 ","1,848 ","2,052 ","2,218 ","2,396 ","2,546 ","2,675 "
E,E08,E0801,"3,902 ",Y,N,23 ,115 ,224 ,395 ,547 ,734 ,887 ,"1,070 ","1,204 ","1,340 ","1,474 ","1,571 ","1,717 ","1,848 ","2,018 "
E,E09,E0901,"5,495 ",Y,N,64 ,181 ,374 ,566 ,739 ,888 ,"1,050 ","1,202 ","1,384 ","1,512 ","1,681 ","1,807 ","1,952 ","2,103 ","2,211 "
E,E10,E1001,"6,297 ",Y,N,59 ,211 ,389 ,583 ,777 ,930 ,"1,102 ","1,293 ","1,513 ","1,693 ","1,872 ","2,063 ","2,250 ","2,445 ","2,649 "
E,E11,E1101,"6,738 ",Y,N,93 ,244 ,475 ,731 ,940 ,"1,193 ","1,412 ","1,591 ","1,772 ","1,922 ","2,205 ","2,356 ","2,550 ","2,727 ","2,913 "
E,E12,E1201,"7,682 ",Y,N,59 ,213 ,421 ,665 ,891 ,"1,112 ","1,334 ","1,525 ","1,758 ","1,938 ","2,204 ","2,385 ","2,551 ","2,741 ","2,914 "
E,E13,E1301,"5,951 ",Y,N,39 ,152 ,360 ,552 ,725 ,870 ,"1,074 ","1,224 ","1,380 ","1,524 ","1,663 ","1,802 ","1,916 ","2,051 ","2,164 "
E,E14,E1401,"5,943 ",Y,N,83 ,229 ,405 ,625 ,763 ,914 ,"1,085 ","1,256 ","1,414 ","1,530 ","1,659 ","1,793 ","1,962 ","2,123 ","2,238 "
E,E15,E1501,"5,935 ",Y,N,72 ,234 ,431 ,656 ,866 ,"1,028 ","1,202 ","1,349 ","1,542 ","1,679 ","1,813 ","1,945 ","2,056 ","2,164 ","2,269 "
E,E16,E1601,"4,060 ",Y,N,60 ,133 ,250 ,365 ,504 ,618 ,726 ,867 ,993 ,"1,071 ","1,233 ","1,331 ","1,433 ","1,536 ","1,643 "
E,E16,E1602,"3,209 ",N,N,16 ,51 ,102 ,151 ,226 ,290 ,369 ,450 ,530 ,579 ,654 ,720 ,795 ,862 ,944 
E,E17,E1701,"6,932 ",Y,N,37 ,114 ,208 ,371 ,557 ,699 ,871 ,"1,074 ","1,222 ","1,361 ","1,559 ","1,786 ","1,932 ","2,088 ","2,238 "
F,F01,F0101,"5,016 ",Y,N,30 ,147 ,280 ,441 ,638 ,830 ,964 ,"1,104 ","1,279 ","1,433 ","1,611 ","1,760 ","1,879 ","2,017 ","2,138 "
F,F03,F0301,"7,188 ",Y,N,51 ,186 ,433 ,683 ,878 ,"1,079 ","1,324 ","1,503 ","1,725 ","1,901 ","2,132 ","2,329 ","2,531 ","2,742 ","2,918 "
F,F04,F0401,"8,889 ",Y,N,49 ,230 ,480 ,750 ,956 ,"1,161 ","1,363 ","1,549 ","1,772 ","1,982 ","2,237 ","2,420 ","2,635 ","2,847 ","3,017 "
F,F05,F0501,"6,935 ",Y,N,66 ,177 ,322 ,480 ,620 ,741 ,905 ,"1,043 ","1,192 ","1,363 ","1,532 ","1,640 ","1,783 ","1,867 ","1,960 "
F,F06,F0601,"6,505 ",Y,N,65 ,178 ,364 ,532 ,713 ,853 ,"1,000 ","1,141 ","1,302 ","1,435 ","1,630 ","1,774 ","1,924 ","2,034 ","2,143 "
F,F07,F0701,"5,967 ",Y,N,49 ,183 ,319 ,548 ,728 ,886 ,"1,024 ","1,185 ","1,390 ","1,551 ","1,774 ","1,959 ","2,146 ","2,343 ","2,491 "
F,F08,F0801,"8,758 ",Y,N,168 ,472 ,830 ,"1,177 ","1,417 ","1,660 ","1,880 ","2,149 ","2,410 ","2,680 ","3,008 ","3,319 ","3,650 ","3,969 ","4,252 "
F,F09,F0901,"9,729 ",Y,N,151 ,489 ,896 ,"1,334 ","1,714 ","2,040 ","2,396 ","2,719 ","3,170 ","3,475 ","3,789 ","4,085 ","4,365 ","4,678 ","4,902 "
F,F10,F1001,"8,002 ",Y,N,133 ,426 ,660 ,964 ,"1,202 ","1,388 ","1,608 ","1,863 ","2,109 ","2,338 ","2,578 ","2,756 ","2,938 ","3,188 ","3,347 "
F,F11,F1101,"9,007 ",Y,N,113 ,357 ,670 ,"1,045 ","1,360 ","1,638 ","1,946 ","2,219 ","2,545 ","2,830 ","3,205 ","3,499 ","3,823 ","4,127 ","4,523 "
F,F12,F1201,"8,011 ",Y,N,80 ,255 ,570 ,904 ,"1,243 ","1,534 ","1,841 ","2,130 ","2,419 ","2,738 ","2,987 ","3,250 ","3,480 ","3,829 ","4,095 "
F,F13,F1301,"7,149 ",Y,N,41 ,211 ,436 ,691 ,954 ,"1,176 ","1,440 ","1,656 ","1,919 ","2,125 ","2,345 ","2,591 ","2,778 ","3,003 ","3,249 "
F,F14,F1401,"7,698 ",Y,N,94 ,252 ,479 ,750 ,997 ,"1,184 ","1,452 ","1,668 ","1,941 ","2,122 ","2,406 ","2,586 ","2,788 ","3,002 ","3,193 "
F,F15,F1501,"6,609 ",Y,N,46 ,151 ,377 ,615 ,874 ,"1,077 ","1,300 ","1,527 ","1,727 ","1,971 ","2,203 ","2,390 ","2,575 ","2,859 ","3,157 "
F,F16,F1601,"12,290 ",Y,N,304 ,766 ,"1,299 ","1,875 ","2,391 ","2,736 ","3,136 ","3,486 ","3,967 ","4,373 ","4,743 ","5,118 ","5,332 ","5,634 ","5,890 "
F,F17,F1701,"9,865 ",Y,N,140 ,446 ,846 ,"1,171 ","1,477 ","1,721 ","2,015 ","2,309 ","2,624 ","2,923 ","3,217 ","3,433 ","3,754 ","4,008 ","4,270 "
F,F18,F1801,"9,032 ",Y,N,155 ,455 ,852 ,"1,187 ","1,458 ","1,718 ","2,011 ","2,237 ","2,520 ","2,797 ","3,084 ","3,318 ","3,546 ","3,800 ","4,040 "
F,F19,F1901,"5,229 ",Y,N,29 ,93 ,200 ,331 ,500 ,617 ,807 ,949 ,"1,081 ","1,208 ","1,352 ","1,521 ","1,659 ","1,819 ","2,049 "
F,F20,F2001,"11,222 ",Y,N,155 ,512 ,894 ,"1,272 ","1,658 ","1,921 ","2,260 ","2,639 ","2,921 ","3,236 ","3,575 ","3,830 ","4,135 ","4,448 ","4,714 "
F,F21,F2101,"4,078 ",Y,N,42 ,126 ,231 ,339 ,451 ,557 ,667 ,760 ,888 ,"1,016 ","1,137 ","1,251 ","1,364 ","1,487 ","1,637 "
F,F21,F2102,"4,398 ",N,N,35 ,164 ,296 ,461 ,590 ,690 ,836 ,952 ,"1,079 ","1,208 ","1,329 ","1,467 ","1,590 ","1,719 ","1,844 "
G,G01,G0101,"9,465 ",Y,N,116 ,410 ,793 ,"1,176 ","1,536 ","1,787 ","2,100 ","2,397 ","2,707 ","3,017 ","3,326 ","3,584 ","3,832 ","4,104 ","4,424 "
G,G02,G0201,"7,144 ",Y,N,71 ,228 ,416 ,636 ,825 ,976 ,"1,111 ","1,380 ","1,579 ","1,783 ","2,016 ","2,197 ","2,354 ","2,584 ","2,751 "
G,G03,G0301,"6,654 ",Y,N,99 ,283 ,534 ,734 ,931 ,"1,089 ","1,284 ","1,445 ","1,624 ","1,773 ","1,963 ","2,111 ","2,253 ","2,399 ","2,550 "
G,G05,G0501,"10,280 ",Y,N,144 ,423 ,765 ,"1,043 ","1,396 ","1,630 ","1,950 ","2,233 ","2,540 ","2,846 ","3,164 ","3,431 ","3,679 ","3,949 ","4,251 "
G,G06,G0601,"5,731 ",Y,N,56 ,132 ,260 ,429 ,628 ,794 ,947 ,"1,111 ","1,268 ","1,385 ","1,555 ","1,715 ","1,858 ","2,008 ","2,148 "
G,G06,G0602,"3,335 ",N,N,47 ,126 ,237 ,371 ,426 ,515 ,576 ,675 ,771 ,871 ,979 ,"1,079 ","1,159 ","1,267 ","1,402 "
G,G07,G0701,"3,187 ",Y,N,14 ,83 ,135 ,191 ,290 ,373 ,446 ,507 ,603 ,660 ,750 ,832 ,897 ,976 ,"1,125 "
G,G07,G0702,"4,747 ",N,N,55 ,161 ,338 ,538 ,727 ,902 ,"1,098 ","1,293 ","1,444 ","1,555 ","1,714 ","1,866 ","2,022 ","2,142 ","2,253 "
G,G08,G0801,"6,408 ",Y,N,49 ,123 ,259 ,382 ,550 ,710 ,852 ,"1,036 ","1,234 ","1,392 ","1,546 ","1,694 ","1,832 ","2,010 ","2,182 "
G,G10,G1001,"6,835 ",Y,N,81 ,275 ,577 ,859 ,"1,225 ","1,341 ","1,506 ","1,721 ","1,914 ","2,098 ","2,294 ","2,451 ","2,582 ","2,714 ","2,830 "
G,G11,G1101,"7,510 ",Y,N,83 ,212 ,431 ,728 ,955 ,"1,110 ","1,327 ","1,529 ","1,778 ","1,978 ","2,186 ","2,365 ","2,533 ","2,712 ","2,899 "
G,G12,G1201,"7,660 ",Y,N,127 ,402 ,668 ,"1,017 ","1,269 ","1,473 ","1,684 ","1,920 ","2,158 ","2,367 ","2,604 ","2,803 ","3,029 ","3,253 ","3,432 "
G,G13,G1301,"5,403 ",Y,N,40 ,200 ,393 ,600 ,733 ,837 ,960 ,"1,067 ","1,206 ","1,315 ","1,479 ","1,605 ","1,698 ","1,807 ","1,904 "
G,G14,G1401,"6,176 ",Y,N,80 ,245 ,481 ,709 ,873 ,"1,077 ","1,319 ","1,540 ","1,726 ","1,906 ","2,113 ","2,285 ","2,477 ","2,645 ","2,815 "
G,G15,G1501,"3,720 ",N,N,29 ,84 ,171 ,289 ,393 ,520 ,649 ,794 ,920 ,"1,020 ","1,098 ","1,200 ","1,297 ","1,414 ","1,601 "
G,G15,G1502,"2,896 ",Y,N,39 ,93 ,151 ,234 ,304 ,357 ,428 ,517 ,596 ,669 ,744 ,791 ,857 ,916 ,975 
G,G16,G1601,"8,373 ",Y,N,66 ,228 ,467 ,768 ,"1,193 ","1,416 ","1,692 ","2,063 ","2,400 ","2,683 ","2,928 ","3,184 ","3,460 ","3,803 ","4,178 "
G,G17,G1701,"7,371 ",Y,N,36 ,155 ,298 ,495 ,693 ,869 ,"1,090 ","1,312 ","1,580 ","1,743 ","1,899 ","2,070 ","2,265 ","2,513 ","2,789 "
G,G18,G1801,"8,088 ",Y,N,47 ,192 ,398 ,645 ,836 ,978 ,"1,167 ","1,372 ","1,583 ","1,789 ","1,989 ","2,163 ","2,341 ","2,518 ","2,704 "
G,G19,G1901,"5,105 ",Y,N,96 ,250 ,486 ,686 ,881 ,"1,016 ","1,162 ","1,333 ","1,493 ","1,661 ","1,829 ","1,953 ","2,085 ","2,199 ","2,292 "
G,G20,G2001,"8,539 ",Y,N,98 ,317 ,699 ,"1,057 ","1,375 ","1,619 ","1,856 ","2,122 ","2,403 ","2,683 ","2,904 ","3,098 ","3,272 ","3,459 ","3,648 "
G,G21,G2101,"9,281 ",Y,N,141 ,374 ,759 ,"1,143 ","1,476 ","1,725 ","2,020 ","2,380 ","2,687 ","3,023 ","3,378 ","3,644 ","3,938 ","4,283 ","4,625 "
G,G22,G2201,"9,592 ",Y,N,114 ,390 ,764 ,"1,123 ","1,511 ","1,824 ","2,138 ","2,440 ","2,714 ","3,020 ","3,299 ","3,567 ","3,883 ","4,228 ","4,603 "
