Polling Station Code,District Code,"Geographical
 Constituency",No. of Electors*,8:30,9:30,10:30,11:30,12:30,13:30,14:30,15:30,16:30,17:30,18:30,19:30,20:30,21:30,22:30,總投票人數,"Morning Vote
(7:30-12:30)","Afternoon Vote
(12:30-6:30)","Night Vote
(6:30-10:30)",Morning Percentage,Afternoon Percentage,Night Percentage,八點半後的投票率
Q2401,Q,LC5,"12,271",51,177,404,720,"1,024","1,272","1,580","1,865","2,173","2,516","2,866","3,290","3,587","4,045","4,513","4,513","1,024","1,842","1,647",22.69%,40.82%,36.49%,0.2051850211
Q2501,Q,LC5,"11,316",98,281,625,"1,041","1,468","1,796","2,185","2,608","2,984","3,362","3,750","4,134","4,453","4,851","5,343","5,343","1,468","2,282","1,593",27.48%,42.71%,29.81%,0.1665730863
Q2601,Q,LC5,"2,608",14,75,157,303,414,544,659,779,881,"1,026","1,167","1,337","1,465","1,596","1,749","1,749",414,753,582,23.67%,43.05%,33.28%,0.162378502
Q2602,Q,LC5,"8,036",51,165,389,669,976,"1,419","1,732","2,077","2,394","2,771","3,063","3,512","3,844","4,209","4,831","4,831",976,"2,087","1,768",20.20%,43.20%,36.60%,0.2043055268
R0101,R,LC5,"3,468",18,80,170,294,445,573,668,810,926,"1,070","1,197","1,336","1,460","1,546","1,659","1,659",445,752,462,26.82%,45.33%,27.85%,0.1199517782
R0102,R,LC5,"5,872",33,138,293,532,755,962,"1,198","1,482","1,698","1,926","2,149","2,376","2,559","2,772","3,015","3,015",755,"1,394",866,25.04%,46.24%,28.72%,0.1512437811
R0201,R,LC5,"7,647",52,182,400,654,897,"1,085","1,330","1,518","1,751","1,967","2,156","2,410","2,612","2,803","3,000","3,000",897,"1,259",844,29.90%,41.97%,28.13%,0.1293333333
R0301,R,LC5,"11,259",35,179,435,770,"1,154","1,450","1,733","2,015","2,319","2,650","2,944","3,285","3,591","3,835","4,131","4,131","1,154","1,790","1,187",27.94%,43.33%,28.73%,0.1307189542
R0401,R,LC5,"8,872",91,298,639,"1,088","1,604","1,969","2,420","2,833","3,296","3,668","4,037","4,407","4,721","5,063","5,485","5,485","1,604","2,433","1,448",29.24%,44.36%,26.40%,0.1392889699
R0501,R,LC5,"8,342",85,234,530,864,"1,266","1,586","1,975","2,365","2,716","3,065","3,381","3,713","4,040","4,397","4,702","4,702","1,266","2,115","1,321",26.92%,44.98%,28.09%,0.1407911527
