Code,Name,Sex,18-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,66-70,71+,source_file
R20,松田 Chung Tin,M,155.0,315.0,247.0,231.0,321.0,382.0,508.0,589.0,486.0,345.0,313.0,403.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R20,松田 Chung Tin,F,143.0,311.0,255.0,216.0,281.0,339.0,386.0,560.0,539.0,386.0,310.0,364.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R21,穗禾 Sui Wo,M,130.0,239.0,264.0,276.0,335.0,294.0,306.0,516.0,555.0,445.0,340.0,489.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R21,穗禾 Sui Wo,F,121.0,272.0,257.0,286.0,285.0,229.0,230.0,409.0,521.0,429.0,371.0,475.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R22,火炭 Fo Tan,M,155.0,307.0,248.0,301.0,377.0,397.0,439.0,624.0,454.0,345.0,170.0,233.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R22,火炭 Fo Tan,F,162.0,328.0,227.0,278.0,305.0,393.0,404.0,581.0,574.0,409.0,251.0,242.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R23,駿馬 Chun Ma,M,133.0,286.0,218.0,178.0,176.0,230.0,316.0,546.0,538.0,294.0,161.0,154.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R23,駿馬 Chun Ma,F,136.0,333.0,233.0,168.0,159.0,201.0,256.0,417.0,531.0,392.0,250.0,194.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R24,頌安 Chung On,M,279.0,708.0,561.0,329.0,298.0,466.0,738.0,879.0,701.0,460.0,227.0,330.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R24,頌安 Chung On,F,290.0,729.0,604.0,328.0,300.0,372.0,441.0,711.0,850.0,593.0,299.0,350.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R25,錦濤 Kam To,M,159.0,422.0,330.0,556.0,564.0,576.0,648.0,748.0,653.0,516.0,409.0,755.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R25,錦濤 Kam To,F,196.0,402.0,388.0,538.0,580.0,548.0,575.0,684.0,661.0,466.0,398.0,616.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R26,馬鞍山市中心 Ma On Shan Town Centre,M,182.0,345.0,271.0,345.0,417.0,502.0,594.0,731.0,567.0,355.0,233.0,358.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R26,馬鞍山市中心 Ma On Shan Town Centre,F,162.0,350.0,266.0,316.0,433.0,429.0,447.0,697.0,575.0,378.0,276.0,328.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R27,利安 Lee On,M,184.0,651.0,495.0,289.0,284.0,288.0,457.0,686.0,601.0,486.0,415.0,427.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R27,利安 Lee On,F,193.0,678.0,593.0,296.0,310.0,288.0,260.0,441.0,716.0,531.0,434.0,536.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R28,富龍 Fu Lung,M,166.0,378.0,305.0,354.0,433.0,462.0,558.0,782.0,677.0,612.0,476.0,710.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R28,富龍 Fu Lung,F,192.0,448.0,361.0,371.0,488.0,386.0,442.0,749.0,659.0,536.0,463.0,704.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R29,烏溪沙 Wu Kai Sha,M,155.0,228.0,200.0,342.0,366.0,418.0,445.0,540.0,339.0,204.0,129.0,161.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R29,烏溪沙 Wu Kai Sha,F,145.0,272.0,200.0,288.0,338.0,363.0,398.0,493.0,447.0,271.0,159.0,183.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R30,錦英 Kam Ying,M,169.0,417.0,325.0,322.0,416.0,453.0,591.0,821.0,645.0,442.0,368.0,533.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R30,錦英 Kam Ying,F,211.0,464.0,303.0,325.0,402.0,439.0,457.0,784.0,628.0,446.0,348.0,510.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R31,耀安 Yiu On,M,88.0,393.0,697.0,951.0,385.0,269.0,241.0,619.0,1405.0,873.0,483.0,589.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R31,耀安 Yiu On,F,118.0,348.0,802.0,1003.0,438.0,281.0,179.0,317.0,899.0,891.0,576.0,606.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R32,恒安 Heng On,M,109.0,311.0,536.0,981.0,683.0,388.0,287.0,487.0,1414.0,1194.0,695.0,847.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R32,恒安 Heng On,F,109.0,325.0,583.0,1025.0,760.0,443.0,285.0,306.0,812.0,1036.0,836.0,873.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R33,鞍泰 On Tai,M,190.0,360.0,326.0,459.0,731.0,838.0,763.0,669.0,588.0,458.0,408.0,471.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R33,鞍泰 On Tai,F,212.0,398.0,312.0,445.0,652.0,748.0,720.0,663.0,588.0,410.0,408.0,459.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R34,大水坑 Tai Shui Hang,M,188.0,446.0,363.0,355.0,374.0,451.0,424.0,815.0,753.0,514.0,357.0,717.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R34,大水坑 Tai Shui Hang,F,174.0,507.0,389.0,372.0,330.0,374.0,354.0,637.0,838.0,599.0,391.0,564.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R35,愉欣 Yu Yan,M,102.0,235.0,308.0,449.0,772.0,708.0,485.0,427.0,441.0,376.0,349.0,452.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R35,愉欣 Yu Yan,F,117.0,258.0,272.0,463.0,779.0,742.0,453.0,386.0,400.0,323.0,266.0,454.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R36,碧湖 Bik Woo,M,181.0,404.0,326.0,298.0,414.0,455.0,447.0,592.0,608.0,429.0,221.0,282.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R36,碧湖 Bik Woo,F,176.0,364.0,293.0,254.0,335.0,346.0,358.0,475.0,650.0,513.0,296.0,271.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R37,廣康 Kwong Hong,M,175.0,438.0,352.0,316.0,408.0,493.0,524.0,865.0,654.0,411.0,297.0,434.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R37,廣康 Kwong Hong,F,180.0,453.0,388.0,296.0,343.0,411.0,479.0,703.0,735.0,472.0,296.0,431.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R38,廣源 Kwong Yuen,M,75.0,358.0,637.0,435.0,246.0,210.0,208.0,471.0,749.0,527.0,309.0,489.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R38,廣源 Kwong Yuen,F,88.0,370.0,628.0,490.0,270.0,225.0,174.0,222.0,622.0,567.0,367.0,509.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
S01,葵興 Kwai Hing,M,125.0,270.0,222.0,283.0,323.0,462.0,519.0,519.0,426.0,416.0,415.0,964.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_S.csv.xlsx
S01,葵興 Kwai Hing,F,121.0,252.0,220.0,288.0,357.0,441.0,521.0,518.0,459.0,367.0,336.0,835.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_S.csv.xlsx
S02,葵盛東邨 Kwai Shing East Estate,M,198.0,570.0,418.0,280.0,220.0,306.0,467.0,610.0,626.0,524.0,463.0,1061.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_S.csv.xlsx
S02,葵盛東邨 Kwai Shing East Estate,F,199.0,545.0,483.0,278.0,269.0,311.0,372.0,451.0,641.0,461.0,367.0,955.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_S.csv.xlsx
